1573745153 stage_out_local_local-hcc_1_0 POST_SCRIPT_SUCCESS 0 local - 11
1573745158 cleanup_split_0_local-hcc SUBMIT 10796871.0 local - 12
1573745159 cleanup_split_0_local-hcc EXECUTE 10796871.0 local - 12
1573745159 register_local-hcc_1_0 SUBMIT 10796872.0 local - 13
1573745163 cleanup_split_0_local-hcc JOB_TERMINATED 10796871.0 local - 12
1573745164 cleanup_split_0_local-hcc JOB_SUCCESS 0 local - 12
1573745164 cleanup_split_0_local-hcc POST_SCRIPT_STARTED 10796871.0 local - 12
1573745163 register_local-hcc_1_0 EXECUTE 10796872.0 local - 13
1573745165 cleanup_split_0_local-hcc POST_SCRIPT_TERMINATED 10796871.0 local - 12
1573745169 cleanup_split_0_local-hcc POST_SCRIPT_SUCCESS 0 local - 12
1573745165 register_local-hcc_1_0 JOB_TERMINATED 10796872.0 local - 13
1573745169 register_local-hcc_1_0 JOB_SUCCESS 0 local - 13
1573745169 register_local-hcc_1_0 POST_SCRIPT_STARTED 10796872.0 local - 13
1573745169 register_local-hcc_1_0 POST_SCRIPT_TERMINATED 10796872.0 local - 13
1573745174 register_local-hcc_1_0 POST_SCRIPT_SUCCESS 0 local - 13
1573745174 INTERNAL *** DAGMAN_FINISHED 0 ***
1573745176 INTERNAL *** MONITORD_FINISHED 0 ***
